age,gender_0,gender_1,race_0,race_1,race_2,race_3,race_4,eye_distance,mouth_width,face_width,face_height,face_aspect_ratio,eye_to_face_ratio,mouth_to_face_ratio
6,1,0,0,0,1,0,0,79.56181335449219,65.04412078857422,171.82403564453125,190.03868103027344,1.106007551955214,0.4630423971596691,0.3785507687826468
43,0,1,1,0,0,0,0,80.73043823242188,73.01724243164062,165.7756805419922,199.09445190429688,1.200987088415932,0.4869860160940329,0.4404581069606577
63,1,0,1,0,0,0,0,84.97570037841797,78.09561920166016,181.4810333251953,193.72579956054688,1.0674713275045673,0.4682346073385546,0.4303238623383902
1,1,0,0,0,0,1,0,79.0315933227539,64.29771423339844,175.9058380126953,191.7341766357422,1.089981883500106,0.4492835156332339,0.3655234809703018
1,1,0,1,0,0,0,0,80.4653091430664,58.71501922607422,189.29774475097656,189.25979614257812,0.9997995295271564,0.4250727299943244,0.3101728406923945
27,0,1,0,0,1,0,0,74.99044799804688,63.437774658203125,165.1141815185547,192.21728515625,1.1641476424885382,0.4541732715406994,0.3842054878313061
5,0,1,0,0,1,0,0,77.10450744628906,60.813323974609375,167.73184204101562,187.00282287597656,1.114891606748399,0.4596891473202484,0.3625627861389529
40,0,1,1,0,0,0,0,83.0097885131836,67.48278045654297,171.64784240722656,198.64535522460935,1.157284312105319,0.4836051962496954,0.393146686320957
26,1,0,0,1,0,0,0,80.3541488647461,66.44088745117188,165.8188934326172,201.07388305664065,1.2126114153472494,0.4845898268968917,0.400683456967894
30,1,0,0,0,0,1,0,74.20438385009766,65.56719970703125,149.99160766601562,202.99172973632812,1.3533539168959852,0.4947235715702681,0.4371391221636139
24,1,0,0,0,1,0,0,78.50563049316406,70.80587768554688,158.76869201660156,200.08950805664065,1.2602579609065394,0.4944654358238031,0.4459687661730128
26,1,0,0,0,0,1,0,82.0165786743164,68.66136169433594,175.65586853027344,210.5360107421875,1.1985708903651155,0.4669162457283984,0.3908856690575213
42,0,1,1,0,0,0,0,82.14955139160156,71.82195281982422,173.112548828125,187.6732635498047,1.0841112606812595,0.4745441734161273,0.414885883813846
28,0,1,0,1,0,0,0,72.21990966796875,59.38656234741211,159.4995574951172,193.04454040527344,1.2103139559567944,0.4527906584955863,0.3723305774640166
46,0,1,0,0,0,1,0,81.83899688720703,69.79202270507812,176.55499267578125,200.71380615234375,1.136834496212332,0.4635326118332603,0.3952990603513631
40,1,0,1,0,0,0,0,75.89239501953125,67.37982177734375,161.29347229003906,200.36837768554688,1.2422596825570411,0.4705236606417711,0.4177467371784326
29,1,0,0,0,0,1,0,74.5180435180664,62.83518600463867,162.94094848632812,193.667724609375,1.1885761461958415,0.4573315928888126,0.385631645012248
9,1,0,0,1,0,0,0,77.98768615722656,65.48021697998047,167.99942016601562,202.98138427734375,1.208226695525254,0.464214019787448,0.3897645415399259
60,1,0,0,1,0,0,0,82.28250122070312,69.333251953125,167.47300720214844,196.5391845703125,1.173557386075236,0.491317989658978,0.4139965783825464
17,0,1,0,1,0,0,0,74.472900390625,59.182861328125,156.62196350097656,180.88072204589844,1.1548873351008055,0.4754946159908195,0.3778707660484411
58,1,0,1,0,0,0,0,74.36927032470703,61.89968490600586,161.14306640625,189.884521484375,1.178359861948179,0.4615108299926368,0.3841287514658158
43,0,1,0,1,0,0,0,74.56797790527344,63.834007263183594,158.20765686035156,193.62074279785156,1.223839266950011,0.4713297661129885,0.4034824137464426
26,1,0,0,1,0,0,0,74.5797119140625,63.97492218017578,161.57318115234375,202.9051971435547,1.2558098794393353,0.4615847220569542,0.3959501306089607
57,1,0,1,0,0,0,0,82.51298522949219,74.37896728515625,162.76242065429688,202.7976226806641,1.2459732527043264,0.5069535393845463,0.4569787484491597
14,0,1,1,0,0,0,0,75.76252746582031,68.13595581054688,162.71481323242188,198.4585723876953,1.2196712053758565,0.4656154283728372,0.4187446395136837
29,1,0,0,1,0,0,0,70.01150512695312,57.81507110595703,148.09133911132812,178.0108184814453,1.202033957891522,0.4727589442237521,0.3904014336888018
72,0,1,1,0,0,0,0,75.49789428710938,59.353797912597656,176.3404541015625,190.66702270507812,1.0812438001053593,0.4281371207291249,0.3365863959861025
29,0,1,0,0,0,1,0,91.26171112060548,81.55728149414062,177.19418334960938,205.49024963378903,1.15968958884136,0.5150378494114755,0.4602706474468503
26,1,0,0,0,0,1,0,79.59174346923828,69.2734146118164,170.6864776611328,203.7069091796875,1.1934566344740607,0.4663037433302321,0.4058518024453364
64,1,0,1,0,0,0,0,84.19462585449219,68.13865661621094,183.4433135986328,194.48385620117188,1.0601850369247874,0.4589680823074692,0.3714425741637866
29,1,0,0,1,0,0,0,84.32943725585938,67.8414306640625,158.84800720214844,199.5204315185547,1.2560461728968808,0.5308813043436078,0.4270839266981055
42,0,1,0,1,0,0,0,85.27790832519531,71.3000717163086,164.37063598632812,190.23252868652344,1.157338885653192,0.5188147372763617,0.4337762112342203
23,0,1,1,0,0,0,0,75.07986450195312,61.276878356933594,152.63577270507812,196.269287109375,1.285866894968359,0.4918890452176107,0.4014581724254928
47,1,0,1,0,0,0,0,72.14569854736328,62.60736083984375,163.1770477294922,203.45440673828125,1.2468322571662107,0.4421314121760756,0.3836774945434207
45,1,0,0,1,0,0,0,73.9599838256836,59.50714874267578,159.03744506835938,181.72418212890625,1.1426502862316192,0.4650476106044914,0.374170678591433
17,1,0,1,0,0,0,0,82.95851135253906,71.9128646850586,170.08689880371094,195.6930694580078,1.150547577940425,0.4877419244869498,0.4228007282797821
28,0,1,0,0,1,0,0,75.20942687988281,60.6677131652832,169.4498748779297,196.7118225097656,1.1608850266279347,0.4438446881950375,0.3580274887130352
11,0,1,1,0,0,0,0,81.14405059814453,66.33065795898438,175.09263610839844,198.47824096679688,1.1335613271818046,0.4634349702057653,0.3788317968890456
5,0,1,0,0,1,0,0,75.39588928222656,53.188419342041016,176.19671630859375,181.03060913085935,1.0274346362607545,0.4279074596950887,0.3018695266084639
2,0,1,0,0,0,1,0,83.65911865234375,73.85987091064453,175.54331970214844,204.88070678710935,1.1671233467313873,0.476572499564732,0.4207501090668993
26,0,1,0,0,1,0,0,80.9675521850586,67.39966583251953,164.07383728027344,187.23190307617188,1.1411441713058703,0.4934824072332055,0.4107886238888067
34,1,0,0,0,1,0,0,77.45079803466797,65.26305389404297,162.22145080566406,185.92437744140625,1.146114626136204,0.4774386966089427,0.4023084097073324
92,1,0,0,0,1,0,0,74.9935531616211,65.110595703125,157.39344787597656,192.5556640625,1.2234033033842089,0.4764718873222396,0.4136804713397667
45,1,0,1,0,0,0,0,81.51367950439453,69.86505889892578,169.22364807128906,202.9011077880859,1.1990115453757946,0.4816920119229149,0.412856357224338
1,1,0,0,0,0,0,1,78.77784729003906,55.38556671142578,187.4365692138672,186.8085479736328,0.9966494198924556,0.4202907021849758,0.2954896525460314
25,1,0,0,0,1,0,0,80.44300079345703,66.50920867919922,158.25433349609375,189.4171600341797,1.1969161023881545,0.5083146793919715,0.4202678511855152
58,1,0,1,0,0,0,0,79.37838745117188,58.49298477172851,184.9496612548828,197.8088531494141,1.0695280640541955,0.4291891475366313,0.3162643520126169
18,0,1,1,0,0,0,0,78.66773986816406,63.961952209472656,162.70516967773438,184.77926635742188,1.1356693012484425,0.4834987113438317,0.3931156725761101
32,1,0,0,1,0,0,0,70.97740173339844,62.44630813598633,153.26605224609375,190.08982849121097,1.240260486294712,0.4630993014645708,0.4074373106166951
26,1,0,1,0,0,0,0,87.67533874511719,73.72417449951172,195.0969085693359,202.7770233154297,1.0393656404010334,0.4493937878772592,0.3778848934108595
65,0,1,0,0,0,0,1,75.69380187988281,54.82145309448242,175.0967559814453,192.79005432128903,1.1010486929964518,0.4322969974835167,0.3130923402161246
23,1,0,0,1,0,0,0,76.67093658447266,55.918663024902344,186.49411010742188,189.57345581054688,1.0165117584751135,0.4111172011829739,0.2998414426744781
10,1,0,0,0,0,1,0,78.88876342773438,68.9986343383789,175.51455688476562,189.58790588378903,1.0801833719596448,0.4494713420239491,0.3931220040265952
35,0,1,0,0,0,0,1,83.5052719116211,74.3080062866211,181.32589721679688,202.4322967529297,1.1164003590226144,0.46052589946256,0.4098036045991652
24,0,1,0,0,0,1,0,84.41447448730469,69.82011413574219,167.00404357910156,194.82386779785156,1.1665817403132106,0.5054636563175293,0.4180743929273296
62,1,0,1,0,0,0,0,75.42102813720703,62.424774169921875,167.3941192626953,198.15049743652344,1.18373631229877,0.4505596043003586,0.3729209511354296
26,0,1,0,0,1,0,0,79.6787338256836,66.3714370727539,162.34877014160156,198.39944458007812,1.2220569604995033,0.4907874186924073,0.4088200792335189
32,1,0,1,0,0,0,0,80.60845947265625,72.87471771240234,168.57965087890625,198.2346343994141,1.1759108134694711,0.4781624534894709,0.4322865620640628
65,1,0,0,0,1,0,0,87.63739013671875,75.83946228027344,171.4477996826172,188.4448699951172,1.0991384569762042,0.5111607748769736,0.4423472475042949
13,0,1,0,1,0,0,0,73.63158416748047,58.14970779418945,163.91453552246094,168.826904296875,1.0299690857723898,0.4492071672154472,0.3547562612970422
35,1,0,1,0,0,0,0,80.63867950439453,74.01811218261719,165.35646057128906,194.7233734130859,1.1775976139083848,0.4876657327194621,0.4476275793935867
21,0,1,0,0,0,0,1,87.09353637695312,75.32160186767578,170.76956176757812,201.5832366943359,1.1804400890171285,0.5100062064660547,0.4410715884496469
10,0,1,1,0,0,0,0,67.42024993896484,52.696502685546875,151.97433471679688,184.9406280517578,1.2169201358663184,0.4436291829446203,0.346746065931109
51,0,1,1,0,0,0,0,81.30242156982422,68.59619140625,175.19357299804688,194.6921844482422,1.1112975271667795,0.4640719415587843,0.3915451362306238
32,1,0,0,0,0,1,0,78.08100128173828,60.3781852722168,170.49774169921875,195.8402099609375,1.1486381462249882,0.4579591524413491,0.3541289442926003
26,1,0,0,1,0,0,0,87.7301254272461,74.04302215576172,183.5413055419922,187.6477813720703,1.0223735786228163,0.4779857327928531,0.4034134002540453
37,1,0,0,1,0,0,0,73.15309143066406,65.73925018310547,159.23971557617188,196.11947631835935,1.2315990116457232,0.4593897393371786,0.4128319995124538
11,0,1,1,0,0,0,0,72.37712860107422,56.96760559082031,170.43255615234375,184.3906707763672,1.0818981709782418,0.4246672715298526,0.3342530727515402
7,1,0,0,1,0,0,0,71.88994598388672,52.25875473022461,167.17306518554688,181.7986297607422,1.0874875660080905,0.4300330672533606,0.312602719057775
55,0,1,1,0,0,0,0,92.90074157714844,80.25108337402344,177.2445068359375,198.87515258789065,1.1220384548897475,0.524138904136194,0.4527704965678067
20,0,1,1,0,0,0,0,79.10765838623047,58.09891128540039,184.39166259765625,190.2644805908203,1.031849693800845,0.4290197141876413,0.3150842639353634
27,0,1,0,1,0,0,0,81.75432586669922,73.08377838134766,176.10955810546875,199.34510803222656,1.1319380400287102,0.4642242405590392,0.4149904137376753
25,1,0,1,0,0,0,0,82.04492950439453,68.60505676269531,181.38668823242188,205.24822998046875,1.1315506776190305,0.4523205661005582,0.3782254223352237
14,0,1,1,0,0,0,0,84.17733001708984,74.27788543701172,168.4218292236328,202.53953552246097,1.20257294708233,0.4998005923882825,0.441022911218857
26,0,1,0,0,0,0,1,76.70323181152344,65.03321075439453,152.5546875,206.37164306640625,1.3527715630921289,0.5027917074755467,0.4262944116639781
72,1,0,1,0,0,0,0,84.91128540039062,70.30294036865234,166.5852508544922,191.1314697265625,1.1473492926064073,0.5097167064001266,0.42202379867387
14,1,0,0,1,0,0,0,71.35343170166016,59.57609558105469,158.3951416015625,183.4067840576172,1.1579066264479918,0.4504774008861159,0.3761232508691225
2,0,1,0,0,1,0,0,74.81597900390625,55.08067321777344,161.32162475585938,207.7899932861328,1.288047982411519,0.4637690645450114,0.3414339106807988
25,1,0,1,0,0,0,0,76.48096466064453,64.02242279052734,171.6798095703125,194.5447235107422,1.1331834768319988,0.4454860758062601,0.3729176013811139
28,0,1,1,0,0,0,0,74.51204681396484,62.07259368896485,155.42147827148438,191.8262634277344,1.2342326527911385,0.4794192388506948,0.3993823400684607
9,1,0,1,0,0,0,0,78.64227294921875,60.202903747558594,175.8976287841797,196.58248901367188,1.1175960152076398,0.4470911489415818,0.3422610308262056
65,1,0,0,0,0,1,0,73.15738677978516,59.39244079589844,158.20526123046875,181.35958862304688,1.1463562413316175,0.4624206945508066,0.3754138157856664
27,1,0,0,0,1,0,0,79.46147918701172,67.27730560302734,162.099365234375,194.1589202880859,1.1977771782595008,0.4902022847043266,0.4150374401883249
3,1,0,1,0,0,0,0,79.02140045166016,66.5968017578125,153.40391540527344,196.1468048095703,1.2786297161410494,0.5151198406044316,0.4341271315133796
7,1,0,1,0,0,0,0,80.98872375488281,64.15144348144531,180.5535888671875,205.86676025390625,1.140197553233565,0.4485578174491834,0.3553041724838499
40,1,0,1,0,0,0,0,81.43521881103516,64.94242858886719,178.7696533203125,200.78836059570312,1.1231680370042356,0.4555315586204259,0.3632743442898883
46,1,0,0,0,0,0,1,80.96831512451172,70.01499938964844,172.1925048828125,199.38217163085935,1.1579027308218268,0.4702197414435407,0.406608867426012
29,0,1,0,0,1,0,0,79.71239471435547,68.40209197998047,164.10488891601562,204.04017639160156,1.2433522105244756,0.4857405238862206,0.4168193429934118
21,0,1,0,0,0,0,1,78.30381774902344,65.67092895507812,153.8438262939453,187.44271850585935,1.2183961035116062,0.5089825158106144,0.4268674963245026
35,1,0,0,0,1,0,0,62.86190414428711,50.46013641357422,140.78329467773438,190.29879760742188,1.35171433544749,0.4465153645408261,0.358424176171484
31,0,1,1,0,0,0,0,72.12959289550781,58.50554275512695,156.85781860351562,197.3980407714844,1.2584520333694107,0.4598405966477669,0.3729845491668445
36,0,1,1,0,0,0,0,78.10546875,69.82543182373047,160.7985382080078,202.6573486328125,1.2603183517169567,0.4857349427453335,0.4342417076789889
24,0,1,1,0,0,0,0,69.11577606201172,55.54207229614258,154.76425170898438,184.56964111328125,1.192585749455516,0.4465874728743925,0.3588817939725692
77,0,1,1,0,0,0,0,82.07614135742188,73.76856231689453,175.50790405273438,196.61293029785156,1.120251144009878,0.4676492594473733,0.4203147585577085
57,1,0,0,0,0,1,0,80.52107238769531,68.83185577392578,173.1434326171875,190.7224273681641,1.1015285101216803,0.4650541529098816,0.3975424001562334
50,1,0,1,0,0,0,0,77.67908477783203,63.843753814697266,173.09202575683594,198.53033447265625,1.1469640707282305,0.4487733298988457,0.3688428368409449
26,1,0,0,1,0,0,0,67.99079132080078,58.068878173828125,160.74972534179688,190.1275634765625,1.1827551373559146,0.4229605442636632,0.3612378064743698
1,1,0,0,0,0,1,0,86.22806549072266,67.84929656982422,194.12091064453125,196.74188232421875,1.0135017483226572,0.4441977178266027,0.3495208030116237
35,0,1,0,1,0,0,0,75.76565551757812,60.40080642700195,159.5462646484375,185.28135681152344,1.1613017529416536,0.4748820392914171,0.3785786308447647
67,0,1,1,0,0,0,0,77.4692153930664,63.41246032714844,162.1089324951172,193.6792907714844,1.1947478019282998,0.4778836933948709,0.3911719073781357
2,0,1,0,0,1,0,0,75.5506591796875,59.0389289855957,172.1971893310547,187.91749572753903,1.0912924679987752,0.4387450194348928,0.3428565194063153
23,1,0,0,0,0,0,1,78.0984115600586,68.23104858398438,165.30410766601562,187.32992553710935,1.1332442259426196,0.4724529393900513,0.4127607568097461
3,0,1,1,0,0,0,0,90.0555191040039,78.70993041992188,192.48085021972656,197.56996154785156,1.0264395721564796,0.4678674216224679,0.4089234348771347
1,0,1,0,0,1,0,0,88.59303283691406,71.55462646484375,194.18006896972656,195.9252014160156,1.0089871862521642,0.4562416385315326,0.3684962460076136
60,0,1,1,0,0,0,0,73.00206756591797,54.81978988647461,173.435302734375,181.5885467529297,1.0470102908116798,0.4209181545796611,0.3160820722320525
26,0,1,0,1,0,0,0,73.07744598388672,57.81765365600586,160.8565216064453,189.52706909179688,1.178236773983572,0.4543020404399855,0.3594361800105541
42,1,0,1,0,0,0,0,80.5488052368164,62.48686218261719,180.97117614746097,195.2653656005859,1.0789860007401266,0.4450919033160437,0.345286268856986
38,0,1,1,0,0,0,0,83.25929260253906,67.58942413330078,186.17662048339844,189.5886688232422,1.01832694315207,0.4472059509210147,0.3630392686139009
26,0,1,1,0,0,0,0,73.08454895019531,59.74658966064453,147.1584014892578,187.29086303710935,1.2727160742554078,0.4966386438733523,0.4060018935786407
40,1,0,1,0,0,0,0,76.41343688964844,60.128692626953125,175.5267791748047,193.7085723876953,1.103584155639201,0.4353377715291486,0.3425613624863007
22,0,1,0,1,0,0,0,81.30232238769531,71.86575317382812,172.1883544921875,196.71487426757812,1.142440061337037,0.4721708539899203,0.41736709422523
51,1,0,1,0,0,0,0,86.27957916259766,73.40242004394531,181.62977600097656,200.8233337402344,1.1056740704186887,0.475029926602639,0.4041320848380645
22,0,1,1,0,0,0,0,74.75176239013672,66.13763427734375,162.97486877441406,192.2238006591797,1.1794689703064054,0.4586704867583377,0.4058149257901222
31,0,1,1,0,0,0,0,82.87602233886719,73.43325805664062,182.0810089111328,192.4818115234375,1.0571218419455315,0.4551601665350832,0.4032999294972094
60,1,0,0,0,0,1,0,70.11402893066406,61.805477142333984,156.98159790039062,191.98789978027344,1.2229962132382888,0.4466385224028197,0.3937116067677649
22,0,1,0,0,1,0,0,77.71326446533203,64.76446533203125,165.88963317871094,193.0134124755859,1.163504968798471,0.4684636584952385,0.3904069476256015
37,1,0,0,1,0,0,0,76.96241760253906,63.81934356689453,167.43121337890625,207.90118408203125,1.2417110279881876,0.4596658893486532,0.3811675390685234
26,0,1,0,0,0,1,0,74.82398986816406,59.91450881958008,153.90333557128906,192.92208862304688,1.2535276633668804,0.4861752319429431,0.3892996119751236
24,1,0,0,0,0,0,1,76.34246063232422,67.1546859741211,163.79869079589844,196.9546813964844,1.20241914290939,0.4660749134280373,0.4099830447228621
88,0,1,1,0,0,0,0,79.2437744140625,58.68789291381836,172.7435760498047,199.2049865722656,1.1531831812653437,0.4587364475493738,0.3397399443490606
32,0,1,1,0,0,0,0,87.14437103271484,77.76335906982422,167.38478088378906,207.41961669921875,1.239178470133583,0.5206230254184037,0.4645784321563458
25,0,1,0,1,0,0,0,79.0980453491211,66.46226501464844,164.58995056152344,195.9252471923828,1.1903840211626182,0.4805763965495231,0.4038051216851478
31,1,0,1,0,0,0,0,77.93473052978516,65.40094757080078,161.6303253173828,195.7582550048828,1.2111480603685307,0.4821788880072465,0.4046329019160065
25,0,1,0,1,0,0,0,77.11054229736328,63.05070495605469,158.8118896484375,184.1070556640625,1.1592775331344587,0.4855464063053666,0.3970150162914772
29,1,0,1,0,0,0,0,75.0268325805664,60.42595291137695,166.79928588867188,189.8020782470703,1.1379070194206429,0.4498030802760279,0.3622674556994657
16,1,0,1,0,0,0,0,82.23785400390625,71.14512634277344,155.96063232421875,197.71421813964844,1.267718751797763,0.5272987982822877,0.4561736207562521
53,0,1,1,0,0,0,0,72.96136474609375,60.55625534057617,162.1343231201172,197.1066436767578,1.215699673478338,0.4500056702493545,0.3734943605723329
31,1,0,0,0,1,0,0,67.53987121582031,56.394386291503906,153.37245178222656,183.3773956298828,1.1956345060601905,0.4403650748944154,0.3676956691777885
42,1,0,1,0,0,0,0,84.20662689208984,72.79850769042969,175.86083984375,202.0322265625,1.148818729297568,0.4788253426226458,0.4139551918159277
38,0,1,0,0,0,0,1,76.70098876953125,61.571929931640625,167.24847412109375,182.98095703125,1.0940665258253142,0.4586050137234558,0.3681464375397553
29,1,0,1,0,0,0,0,81.38652038574219,68.36865997314453,183.60305786132812,188.72813415527344,1.027913893993074,0.4432743187055842,0.3723721204293997
37,1,0,1,0,0,0,0,77.59981536865234,67.58377075195312,162.4021453857422,195.14845275878903,1.2016371599972826,0.4778250631131446,0.416150726281517
30,1,0,1,0,0,0,0,74.07266235351562,57.3520622253418,170.02691650390625,186.7491149902344,1.098350301412094,0.4356525653502271,0.3373116645565008
70,1,0,0,0,0,1,0,81.158203125,72.35011291503906,171.97921752929688,206.6021270751953,1.2013203109265245,0.4719070379022663,0.4206910227552008
69,0,1,1,0,0,0,0,83.21484375,78.71258544921875,176.41766357421875,199.8783416748047,1.13298372524198,0.4716922447790586,0.4461717939944513
52,0,1,0,0,0,1,0,70.45132446289062,57.37349319458008,162.41400146484375,200.38790893554688,1.2338093214144654,0.4337761758683137,0.3532546004477279
17,0,1,1,0,0,0,0,79.01932525634766,65.16095733642578,179.2885284423828,189.66549682617188,1.0578785964386108,0.4407383224283742,0.3634418660386644
26,0,1,1,0,0,0,0,67.20120239257812,53.17759704589844,148.259521484375,187.76516723632812,1.2664627900887742,0.4532673633353148,0.3586791358388594
24,0,1,0,0,0,1,0,81.90890502929688,69.31395721435547,166.30642700195312,201.26593017578125,1.2102113779007324,0.4925179772417029,0.4167845973477708
29,0,1,1,0,0,0,0,82.79570770263672,70.8297348022461,179.699462890625,197.22756958007812,1.0975412302713543,0.4607454378037331,0.3941566305368256
9,1,0,1,0,0,0,0,89.97897338867188,78.58257293701172,173.6746368408203,200.21226501464844,1.152800827205131,0.5180893135889564,0.452470057611439
38,1,0,0,0,1,0,0,72.30289459228516,62.41170501708984,154.85096740722656,188.5315399169922,1.2175031455967116,0.4669192308120571,0.4030436881479709
20,0,1,1,0,0,0,0,81.83485412597656,74.2669906616211,168.90081787109375,198.910888671875,1.1776786588664427,0.4845142561028537,0.439707703004151
31,0,1,0,0,0,0,1,79.44677734375,67.41169738769531,174.70587158203125,187.3287048339844,1.0722519119572134,0.4547458916195992,0.3858582243244348
31,1,0,0,0,1,0,0,85.13727569580078,73.24281311035156,161.76913452148438,199.6746368408203,1.234318508480997,0.5262887506175895,0.4527613585063983
26,1,0,1,0,0,0,0,67.3767318725586,52.18424987792969,153.81886291503906,191.8376617431641,1.2471660374262712,0.4380264591461304,0.3392578055056443
50,0,1,1,0,0,0,0,80.80463409423828,71.11030578613281,175.49757385253906,205.6587677001953,1.1718610302442074,0.4604316305941298,0.4051925290197053
75,1,0,1,0,0,0,0,69.33759307861328,53.26065444946289,158.1679229736328,176.37628173828125,1.1151204265841177,0.438379614368282,0.3367348666413331
1,0,1,0,0,1,0,0,74.7464599609375,51.4525260925293,178.91485595703125,193.60845947265625,1.0821262350576066,0.4177767103861338,0.2875810721100001
24,1,0,1,0,0,0,0,77.34886169433594,65.30934143066406,171.36119079589844,201.5504150390625,1.176173053554006,0.451379109441782,0.3811209593451731
45,1,0,0,0,0,1,0,76.18048095703125,63.584957122802734,162.75408935546875,195.96115112304688,1.2040321192486358,0.4680710712628953,0.3906811642927619
1,1,0,0,0,1,0,0,85.2527847290039,70.06732177734375,194.87533569335935,188.3333282470703,0.9664297822861329,0.437473446425006,0.3595494603154718
25,1,0,0,1,0,0,0,77.63381958007812,54.78141784667969,183.9976501464844,190.9249725341797,1.0376489720503512,0.4219283209229694,0.2977288992716322
10,1,0,0,0,0,0,1,85.55322265625,73.7856674194336,163.8236083984375,201.2041015625,1.2281752522087592,0.5222276782487595,0.4503970345957618
50,1,0,1,0,0,0,0,75.99176025390625,63.78961944580078,161.58641052246094,200.69015502929688,1.241998967489908,0.4702855890430414,0.3947709416871653
35,0,1,1,0,0,0,0,79.47552490234375,65.74468994140625,154.52603149414062,198.46302795410156,1.2843339470710924,0.5143180351807413,0.4254602885074362
2,0,1,0,0,1,0,0,79.12901306152344,62.1386833190918,176.832275390625,185.01275634765625,1.046261243536908,0.4474806020944215,0.3513989919647109
26,0,1,0,0,0,1,0,75.351318359375,58.80751037597656,169.99069213867188,180.1673889160156,1.0598662000213632,0.4432673190006562,0.3459454728733244
26,1,0,0,1,0,0,0,86.9249038696289,73.44649505615234,190.11231994628903,205.29122924804688,1.079841797238844,0.4572291995289265,0.3863321171237225
25,1,0,0,0,1,0,0,79.57029724121094,64.5047607421875,163.724365234375,190.35043334960935,1.1626274017133524,0.4860015619990606,0.3939838804679287
1,0,1,0,0,0,1,0,84.270263671875,62.941917419433594,198.6795654296875,194.16798400878903,0.9772921718892368,0.4241516408072583,0.3168011631357663
39,0,1,1,0,0,0,0,84.91671752929688,72.89398956298828,165.83258056640625,194.8638153076172,1.175063516723034,0.5120629326231385,0.4395637414193075
30,0,1,0,0,1,0,0,76.20506286621094,61.2869758605957,166.91690063476562,188.96221923828125,1.1320736157913298,0.4565449189172092,0.3671705838505774
3,0,1,1,0,0,0,0,75.20156860351562,58.673336029052734,170.51776123046875,179.8406524658203,1.0546740185191084,0.4410189769139329,0.3440892937231969
42,1,0,0,0,0,1,0,84.55265045166016,71.46729278564453,184.98529052734375,196.8953857421875,1.064384012268712,0.4570776963434395,0.3863404089152728
85,1,0,1,0,0,0,0,79.81694793701172,67.00164031982422,171.75497436523438,193.60943603515625,1.1272420886247445,0.4647140394739437,0.3901001445078745
29,0,1,1,0,0,0,0,74.78634643554688,63.67391586303711,158.91102600097656,196.05270385742188,1.2337262478955806,0.4706177306733095,0.400689099211063
10,1,0,0,0,1,0,0,89.7309799194336,77.31678771972656,175.95654296875,200.41452026367188,1.1390001012878823,0.5099610301810139,0.4394084267355609
65,1,0,1,0,0,0,0,79.8858871459961,69.00614929199219,160.35374450683594,200.0535888671875,1.2475766592320463,0.498185355082809,0.4303369996392596
85,0,1,1,0,0,0,0,84.68451690673828,71.90739440917969,175.4590606689453,200.69293212890625,1.1438162917535049,0.4826454477977647,0.4098243438385547
12,0,1,1,0,0,0,0,85.29901885986328,73.94253540039062,190.3141326904297,197.61016845703125,1.0383368048576271,0.4482011800910921,0.3885288725281776
